model_id,org_id,model_type,params_B,parameter_group
0-hero/Matter-0.1-7B,0-hero,Chat/post-trained,7.0,7–<15B
0-hero/Matter-0.1-7B-DPO-preview,0-hero,Chat/post-trained,7.0,7–<15B
0-hero/Matter-0.1-7B-boost,0-hero,Chat/post-trained,7.0,7–<15B
0-hero/Matter-0.1-7B-boost-DPO,0-hero,Chat/post-trained,7.0,7–<15B
0-hero/Matter-0.1-7B-boost-DPO-preview,0-hero,Chat/post-trained,7.0,7–<15B
0-hero/Matter-0.1-Slim-7B,0-hero,Fine-tuned,7.0,7–<15B
0-hero/Matter-0.1-Slim-7B-A,0-hero,Fine-tuned,7.0,7–<15B
0-hero/Matter-0.1-Slim-7B-B,0-hero,Fine-tuned,7.0,7–<15B
0-hero/Matter-0.1-Slim-7B-C,0-hero,Fine-tuned,7.0,7–<15B
0-hero/Matter-0.1-Slim-7B-C-DPO,0-hero,Fine-tuned,7.0,7–<15B
0-hero/Matter-0.1-Slim-7B-preview,0-hero,Fine-tuned,7.0,7–<15B
0-hero/Matter-0.2-32B,0-hero,Fine-tuned,32.0,15–<40B
0-hero/Matter-0.2-7B,0-hero,Chat/post-trained,7.0,7–<15B
0-hero/Matter-0.2-7B-DPO,0-hero,Chat/post-trained,7.0,7–<15B
01-ai/Yi-1.5-34B,01-ai,Unknown,34.0,15–<40B
01-ai/Yi-1.5-34B-32K,01-ai,Continually pretrained,34.0,15–<40B
01-ai/Yi-1.5-34B-Chat,01-ai,Unknown,34.0,15–<40B
01-ai/Yi-1.5-34B-Chat-16K,01-ai,Chat/post-trained,34.0,15–<40B
01-ai/Yi-1.5-6B,01-ai,Pretrained,6.0,3–<7B
01-ai/Yi-1.5-6B-Chat,01-ai,Chat/post-trained,6.0,3–<7B
01-ai/Yi-1.5-9B,01-ai,Unknown,8.0,7–<15B
01-ai/Yi-1.5-9B-32K,01-ai,Continually pretrained,8.0,7–<15B
01-ai/Yi-1.5-9B-Chat,01-ai,Unknown,8.0,7–<15B
01-ai/Yi-1.5-9B-Chat-16K,01-ai,Fine-tuned,8.0,7–<15B
01-ai/Yi-34B,01-ai,Unknown,34.0,15–<40B
01-ai/Yi-34B-200K,01-ai,Continually pretrained,34.0,15–<40B
01-ai/Yi-34B-Chat,01-ai,Chat/post-trained,34.0,15–<40B
01-ai/Yi-6B,01-ai,Pretrained,6.0,3–<7B
01-ai/Yi-9B,01-ai,Continually pretrained,8.0,7–<15B
01-ai/Yi-9B-200K,01-ai,Continually pretrained,8.0,7–<15B
0ai/0ai-7B-v3,0ai,Merged,7.0,7–<15B
0ai/0ai-7B-v4,0ai,Merged,7.0,7–<15B
0ai/0ai-7B-v5,0ai,Merged,7.0,7–<15B
0x7194633/fialka-13B-v3,0x7194633,Chat/post-trained,12.0,7–<15B
0x7194633/fialka-13B-v3.1,0x7194633,Chat/post-trained,12.0,7–<15B
0x7194633/fialka-13B-v4,0x7194633,Chat/post-trained,12.0,7–<15B
0x7194633/fialka-7B-v3,0x7194633,Chat/post-trained,6.0,3–<7B
0x7194633/nanoFialka-v1,0x7194633,Chat/post-trained,,Unknown
0x7o/BulgakovLM-3B,0x7o,Pretrained,2.0,<3B
152334H/miqu-1-70b-sf,152334H,Chat/post-trained,68.0,≥40B
1TuanPham/T-Llama,1TuanPham,Fine-tuned,6.0,3–<7B
222gate/Blur-4x7b-MOE-v0.1,222gate,Fine-tuned,24.0,15–<40B
222gate/Blurdus-7b-v0.1,222gate,Fine-tuned,7.0,7–<15B
222gate/Blurred-Beagle-7b-slerp,222gate,Chat/post-trained,7.0,7–<15B
222gate/BrurryDog-7b-v0.1,222gate,Chat/post-trained,7.0,7–<15B
222gate/TinyMistral-248Mx4-MOE,222gate,Fine-tuned,,Unknown
222gate/bleagle-7b-v0.1-test,222gate,Chat/post-trained,7.0,7–<15B
222limin/Liph-36-imatwarwithmyself,222limin,Fine-tuned,2.0,<3B
22h/open-cabrita3b,22h,Fine-tuned,3.0,3–<7B
42MARU/sitebunny-13b,42MARU,Fine-tuned,12.0,7–<15B
42dot/42dot_LLM-PLM-1.3B,42dot,Fine-tuned,1.0,<3B
42dot/42dot_LLM-SFT-1.3B,42dot,Chat/post-trained,1.0,<3B
4season/alignment-model-test10,4season,Fine-tuned,21.0,15–<40B
4season/alignment-model-test3,4season,Fine-tuned,21.0,15–<40B
4season/alignment-model-test9,4season,Fine-tuned,21.0,15–<40B
4season/alignment_model_test,4season,Fine-tuned,21.0,15–<40B
4season/final_model_test_v2,4season,Fine-tuned,21.0,15–<40B
4season/merge_model_test_v2,4season,Fine-tuned,21.0,15–<40B
4season/sft_model_test1,4season,Fine-tuned,21.0,15–<40B
64bits/LexPodLM-13B,64bits,Fine-tuned,64.0,≥40B
8Xqmff94/pooled_gqa_mix_chatml,8Xqmff94,Fine-tuned,30.0,15–<40B
8xqmff94/pooled_gqa_chat,8xqmff94,Fine-tuned,30.0,15–<40B
8xqmff94/pooled_gqa_math,8xqmff94,Fine-tuned,30.0,15–<40B
8xqmff94/pooled_gqa_mix,8xqmff94,Fine-tuned,30.0,15–<40B
8xqmff94/pooled_gqa_mix_chatml_sft,8xqmff94,Fine-tuned,30.0,15–<40B
8xqmff94/pooled_gqa_prime,8xqmff94,Fine-tuned,30.0,15–<40B
8xqmff94/pooled_gqa_raw,8xqmff94,Fine-tuned,30.0,15–<40B
8xqmff94/slm,8xqmff94,Fine-tuned,8.0,7–<15B
922-CA/Llama-3-monika-ddlc-8b-v1,922-CA,Fine-tuned,8.0,7–<15B
922-CA/Llama-3-natsuki-ddlc-8b-v1,922-CA,Fine-tuned,8.0,7–<15B
922-CA/monika-ddlc-7b-v1,922-CA,Fine-tuned,7.0,7–<15B
922-CA/monika-ddlc-8b-v1,922-CA,Fine-tuned,8.0,7–<15B
922CA/Llama-3-monika-ddlc-11.5b-v1,922CA,Fine-tuned,11.0,7–<15B
922CA/Silicon-Monika-7b,922CA,Fine-tuned,7.0,7–<15B
922CA/Silicon-Natsuki-7b,922CA,Fine-tuned,7.0,7–<15B
922CA/monika-ddlc-8b-v1,922CA,Fine-tuned,8.0,7–<15B
AA051610/A0105,AA051610,Fine-tuned,34.0,15–<40B
AA051610/A0106,AA051610,Fine-tuned,34.0,15–<40B
AA051610/A0120,AA051610,Fine-tuned,34.0,15–<40B
AA051610/A0121,AA051610,Fine-tuned,34.0,15–<40B
AA051610/A0127,AA051610,Fine-tuned,34.0,15–<40B
AA051610/A11P,AA051610,Fine-tuned,,Unknown
AA051610/A12P,AA051610,Fine-tuned,,Unknown
AA051610/A13,AA051610,Fine-tuned,,Unknown
AA051610/AZG,AA051610,Fine-tuned,,Unknown
AA051610/C0318-G,AA051610,Fine-tuned,34.0,15–<40B
AA051610/C0322-reft,AA051610,Fine-tuned,34.0,15–<40B
AA051610/C0325-L,AA051610,Fine-tuned,34.0,15–<40B
AA051610/FT,AA051610,Fine-tuned,34.0,15–<40B
AA051610/O0128,AA051610,Fine-tuned,,Unknown
AA051610/Q,AA051610,Fine-tuned,34.0,15–<40B
AA051610/T1B,AA051610,Unknown,,Unknown
AA051610/T1C,AA051610,Unknown,,Unknown
AA051610/T2A,AA051610,Unknown,,Unknown
AA051610/VA,AA051610,Unknown,,Unknown
AA051610/testtest,AA051610,Fine-tuned,34.0,15–<40B
AA051611/A0109,AA051611,Fine-tuned,34.0,15–<40B
AA051611/A0110,AA051611,Fine-tuned,34.0,15–<40B
AA051611/A0113,AA051611,Fine-tuned,34.0,15–<40B
AA051611/A0118,AA051611,Fine-tuned,34.0,15–<40B
AA051611/A0119,AA051611,Fine-tuned,34.0,15–<40B
AA051611/O0201,AA051611,Fine-tuned,,Unknown
AA051611/V0201,AA051611,Fine-tuned,,Unknown
AA051611/V0202,AA051611,Fine-tuned,34.0,15–<40B
AA051611/limb,AA051611,Fine-tuned,,Unknown
AA051611/whattest,AA051611,Fine-tuned,,Unknown
AA051612/A0123,AA051612,Fine-tuned,34.0,15–<40B
AA051612/A0124,AA051612,Fine-tuned,34.0,15–<40B
AA051612/A0125,AA051612,Fine-tuned,34.0,15–<40B
AA051612/A0126,AA051612,Fine-tuned,34.0,15–<40B
AA051612/B0121,AA051612,Fine-tuned,34.0,15–<40B
AA051612/B0122,AA051612,Fine-tuned,34.0,15–<40B
AA051615/A0204,AA051615,Fine-tuned,34.0,15–<40B
AA051615/A0221,AA051615,Fine-tuned,34.0,15–<40B
AA051615/A0304,AA051615,Fine-tuned,34.0,15–<40B
AA051615/A0305a,AA051615,Fine-tuned,34.0,15–<40B
AA051615/A0306,AA051615,Fine-tuned,34.0,15–<40B
AA051615/A0308-G,AA051615,Fine-tuned,34.0,15–<40B
AA051615/L0223,AA051615,Fine-tuned,,Unknown
AA051615/L0225,AA051615,Fine-tuned,,Unknown
ABX-AI/Infinite-Laymons-9B,ABX-AI,Merged,8.0,7–<15B
ABX-AI/Quantum-Citrus-9B,ABX-AI,Merged,8.0,7–<15B
ABX-AI/Silver-Sun-11B,ABX-AI,Merged,10.0,7–<15B
ABX-AI/Silver-Sun-v2-11B,ABX-AI,Merged,10.0,7–<15B
ABX-AI/Spicy-Laymonade-7B,ABX-AI,Merged,7.0,7–<15B
AGI-0/Magistral-7B-v0.1,AGI-0,Fine-tuned,7.0,7–<15B
AGI-0/ThetaWave-7B-v0.1,AGI-0,Fine-tuned,7.0,7–<15B
AGI-0/llamaster-8B-v0.1,AGI-0,Chat/post-trained,8.0,7–<15B
AGI-inc/lora_moe_7b,AGI-inc,Unknown,,Unknown
AGI-inc/lora_moe_7b_baseline,AGI-inc,Unknown,,Unknown
AI-B/UTENA-7B-NSFW-V2,AI-B,Fine-tuned,7.0,7–<15B
AI-B/UTENA-7B-V3,AI-B,Fine-tuned,7.0,7–<15B
AI-Sweden-Models/gpt-sw3-1.3b,AI-Sweden-Models,Pretrained,1.0,<3B
AI-Sweden-Models/gpt-sw3-1.3b-instruct,AI-Sweden-Models,Chat/post-trained,1.0,<3B
AI-Sweden-Models/gpt-sw3-126m,AI-Sweden-Models,Pretrained,,Unknown
AI-Sweden-Models/gpt-sw3-126m-instruct,AI-Sweden-Models,Chat/post-trained,,Unknown
AI-Sweden-Models/gpt-sw3-20b,AI-Sweden-Models,Pretrained,20.0,15–<40B
AI-Sweden-Models/gpt-sw3-20b-instruct,AI-Sweden-Models,Chat/post-trained,20.0,15–<40B
AI-Sweden-Models/gpt-sw3-356m,AI-Sweden-Models,Pretrained,,Unknown
AI-Sweden-Models/gpt-sw3-356m-instruct,AI-Sweden-Models,Chat/post-trained,,Unknown
AI-Sweden-Models/gpt-sw3-40b,AI-Sweden-Models,Pretrained,39.0,15–<40B
AI-Sweden-Models/gpt-sw3-6.7b,AI-Sweden-Models,Pretrained,7.0,7–<15B
AI-Sweden-Models/gpt-sw3-6.7b-v2,AI-Sweden-Models,Pretrained,7.0,7–<15B
AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct,AI-Sweden-Models,Chat/post-trained,7.0,7–<15B
AIChenKai/TinyLlama-1.1B-Chat-v1.0-x2-MoE,AIChenKai,Fine-tuned,1.0,<3B
AIDC-ai-business/Marcoroni-13B,AIDC-ai-business,Unknown,,Unknown
AIDC-ai-business/Marcoroni-70B,AIDC-ai-business,Unknown,,Unknown
AIDC-ai-business/Marcoroni-70B-v1,AIDC-ai-business,Fine-tuned,68.0,≥40B
AIDC-ai-business/Marcoroni-7B,AIDC-ai-business,Unknown,,Unknown
AIDC-ai-business/Marcoroni-7B-v2,AIDC-ai-business,Fine-tuned,7.0,7–<15B
AIDC-ai-business/Marcoroni-7B-v3,AIDC-ai-business,Fine-tuned,7.0,7–<15B
AIGeekLabs/radiantloom-mixtral-8x7b-fusion,AIGeekLabs,Pretrained,46.0,≥40B
AIGym/Llama-2-7b-chat-hf-structured-responses,AIGym,Fine-tuned,6.0,3–<7B
AIGym/TinyLlama-1.1B-2.5T-chat,AIGym,Fine-tuned,1.0,<3B
AIGym/TinyLlama-1.1B-2.5T-chat-and-function-calling,AIGym,Fine-tuned,1.0,<3B
AIGym/deepseek-coder-1.3b-chat,AIGym,Fine-tuned,1.0,<3B
AIGym/deepseek-coder-1.3b-chat-and-function-calling,AIGym,Fine-tuned,1.0,<3B
AIGym/deepseek-coder-6.7b-chat,AIGym,Fine-tuned,6.0,3–<7B
AIGym/deepseek-coder-6.7b-chat-and-function-calling,AIGym,Fine-tuned,6.0,3–<7B
AIJUUD/juud-Mistral-7B,AIJUUD,Chat/post-trained,7.0,7–<15B
AIJUUD/juud-Mistral-7B-dpo,AIJUUD,Chat/post-trained,7.0,7–<15B
ALBADDAWI/DeepCode-7B-Aurora,ALBADDAWI,Fine-tuned,6.0,3–<7B
ALBADDAWI/DeepCode-7B-Aurora-v12,ALBADDAWI,Fine-tuned,6.0,3–<7B
ALBADDAWI/DeepCode-7B-Aurora-v13,ALBADDAWI,Fine-tuned,6.0,3–<7B
ALBADDAWI/DeepCode-7B-Aurora-v2,ALBADDAWI,Fine-tuned,6.0,3–<7B
ALBADDAWI/DeepCode-7B-Aurora-v3,ALBADDAWI,Fine-tuned,6.0,3–<7B
APMIC/caigun-lora-model-34B-v2,APMIC,Fine-tuned,34.0,15–<40B
APMIC/caigun-lora-model-34B-v3,APMIC,Fine-tuned,34.0,15–<40B
Aabbhishekk/TinyLlama-1.1B-miniguanaco,Aabbhishekk,Fine-tuned,1.0,<3B
Aabbhishekk/llama2-7b-function-calling-slerp,Aabbhishekk,Merged,6.0,3–<7B
AbacusResearch/Jallabi-34B,AbacusResearch,Chat/post-trained,34.0,15–<40B
AbacusResearch/RasGulla1-7b,AbacusResearch,Pretrained,7.0,7–<15B
AbacusResearch/haLLAwa2,AbacusResearch,Fine-tuned,7.0,7–<15B
AbacusResearch/haLLAwa3,AbacusResearch,Merged,7.0,7–<15B
AbacusResearch/haLLawa4-7b,AbacusResearch,Merged,7.0,7–<15B
AbacusResearch/jaLLAbi2-7b,AbacusResearch,Merged,7.0,7–<15B
Abe13/juniper-certificate-Llama-2-7b-chat-hf,Abe13,Fine-tuned,7.0,7–<15B
Abhaykoul/EMO-1B,Abhaykoul,Fine-tuned,1.0,<3B
Abhaykoul/HelpingAI-3B,Abhaykoul,Pretrained,2.0,<3B
Abhaykoul/HelpingAI-Lite-4x1b,Abhaykoul,Merged,3.0,3–<7B
Abhaykoul/MediKAI,Abhaykoul,Merged,14.0,7–<15B
Abhaykoul/OEvortex,Abhaykoul,Merged,1.0,<3B
Abhaykoul/Qwen1.5-0.5B-vortex,Abhaykoul,Fine-tuned,,Unknown
Abhaykoul/Qwen1.5-0.5B-vortex-v2,Abhaykoul,Fine-tuned,,Unknown
Abhaykoul/qwen1.5-vortex,Abhaykoul,Fine-tuned,,Unknown
Abhaykoul/vortex2,Abhaykoul,Fine-tuned,2.0,<3B
Abhinav7/NeuralPipe-7B-slerp,Abhinav7,Pretrained,7.0,7–<15B
AdaptLLM/finance-chat,AdaptLLM,Fine-tuned,,Unknown
AdaptLLM/law-chat,AdaptLLM,Fine-tuned,,Unknown
AdaptLLM/medicine-chat,AdaptLLM,Fine-tuned,,Unknown
Aeala/GPT4-x-AlpacaDente-30b,Aeala,Fine-tuned,30.0,15–<40B
Aeala/GPT4-x-AlpacaDente2-30b,Aeala,Fine-tuned,30.0,15–<40B
Aeala/GPT4-x-Alpasta-13b,Aeala,Fine-tuned,13.0,7–<15B
AetherResearch/Cerebrum-1.0-7b,AetherResearch,Fine-tuned,7.0,7–<15B
AetherResearch/Cerebrum-1.0-8x7b,AetherResearch,Fine-tuned,46.0,≥40B
AiMavenAi/AiMaven-Prometheus,AiMavenAi,Fine-tuned,7.0,7–<15B
AiMavenAi/AiMaven-SmartDawg-7b,AiMavenAi,Fine-tuned,7.0,7–<15B
AiMavenAi/MavenWest,AiMavenAi,Fine-tuned,7.0,7–<15B
AiMavenAi/Prometheus-1.3,AiMavenAi,Fine-tuned,7.0,7–<15B
AlanRobotics/nanit,AlanRobotics,Fine-tuned,2.0,<3B
AlanRobotics/nanit_v1.1,AlanRobotics,Fine-tuned,2.0,<3B
AlanRobotics/nanit_v2,AlanRobotics,Fine-tuned,2.0,<3B
AlanRobotics/nanit_v3,AlanRobotics,Fine-tuned,2.0,<3B
AlanRobotics/nanit_v3.2,AlanRobotics,Fine-tuned,2.0,<3B
