id,metric,baseline,status,delta,relative_improvement,simultaneous_CI_low,simultaneous_CI_high,positive_outer_folds,reason
P_A1,A1,B0,NO_PREDEFINED_INCREMENT,1.073476273392763e-05,0.010126031334355804,-3.5281926783469883e-05,5.675145225132514e-05,3,
P_A2,A2,B0,NO_PREDEFINED_INCREMENT,-2.588659242420276e-06,-0.0024418652980443406,-3.251109960443336e-05,2.7333781119592806e-05,3,
P_A3,A3,B0,NO_PREDEFINED_INCREMENT,1.9946112528904267e-05,0.018815037227410892,-6.612389607199223e-05,0.00010601612112980075,3,
P_A4,A4,B0,NO_PREDEFINED_INCREMENT,2.9220381563863836e-05,0.027563394427187218,-7.434288075447869e-06,6.587505120317554e-05,5,
P_A5,A5,B0,NO_PREDEFINED_INCREMENT,2.2923965560128167e-05,0.02162402647576915,-2.188495042146881e-05,6.773288154172515e-05,4,
P_B1,B1,B0,NO_PREDEFINED_INCREMENT,1.1157004543788671e-07,0.00010524329266345926,-2.4698761879432972e-05,2.4921901970308742e-05,2,
P_B2,B2,B0,NO_PREDEFINED_INCREMENT,1.979531268715725e-05,0.018672788724989873,-5.3792237128937975e-05,9.338286250325248e-05,4,
P_B3,B3,B0,NO_PREDEFINED_INCREMENT,-3.321878357123343e-07,-0.00031335060836358233,-2.1308618451669383e-05,2.0644242780244717e-05,2,
P_B4,B4,B0,NO_PREDEFINED_INCREMENT,2.394039512201795e-05,0.022582817820111768,-2.2600865816036986e-05,7.048165606007289e-05,5,
P_B5,B5,B0,NO_PREDEFINED_INCREMENT,6.199039053480426e-06,0.005847512912422916,-2.1928295553323186e-05,3.432637366028404e-05,2,
P_B6,B6,B0,NO_PREDEFINED_INCREMENT,6.197624415236822e-05,0.05846178493438858,-2.47438376518965e-05,0.00014869632595663294,5,
P_B7,B7,B0,NO_PREDEFINED_INCREMENT,3.174381019970355e-07,0.0002994372812154681,-2.257039491652978e-05,2.3205271120523854e-05,3,
P_C1,C1,B0,EXPLORATORY_CANDIDATE,0.00010454138715120843,0.09861320536544749,3.3268904071842706e-05,0.00017581387023057416,5,
P_C2,C2,B0,EXPLORATORY_CANDIDATE,0.00010388512509774695,0.09799415767137067,3.14998194135244e-05,0.00017627043078196952,5,
P_C3,C3,B0,NO_PREDEFINED_INCREMENT,3.490707472078368e-05,0.03292761481315269,-3.7180137016102186e-05,0.00010699428645766956,3,
P_C4,C4,B0,EXPLORATORY_CANDIDATE,0.00021779793596611826,0.2054473656115929,7.725117923831001e-05,0.00035834469269392655,5,
P_D1,D1,B0,NO_PREDEFINED_INCREMENT,2.896161926456748e-05,0.027319305646114907,-3.851724733757144e-05,9.64404858667064e-05,3,
P_D2,D2,B0,EXPLORATORY_CANDIDATE,9.072390350053249e-05,0.0855792635935923,8.371098168967548e-06,0.00017307670883209744,5,
P_D3,D3,B0,NO_PREDEFINED_INCREMENT,2.6072704638876518e-05,0.02459421141281905,-5.1417240094059366e-05,0.00010356264937181241,3,
P_D4,D4,B0,NO_PREDEFINED_INCREMENT,6.12037568896527e-05,0.05773310276212913,-4.678998554241072e-05,0.0001691974993217161,4,
Q_C1,C1,Bd,NO_PREDEFINED_INCREMENT,5.690250350034677e-05,0.05882461785728904,-8.064234850523546e-06,0.00012186924185121708,5,
Q_C2,C2,Bd,NO_PREDEFINED_INCREMENT,6.457974493845759e-05,0.06676118946687142,-8.422214397956957e-06,0.00013758170427487215,5,
Q_C3,C3,Bd,NO_PREDEFINED_INCREMENT,2.0681845688428907e-05,0.021380459459008468,-4.003459728603644e-05,8.139828866289426e-05,3,
Q_C4,C4,Bd,EXPLORATORY_CANDIDATE,0.000134347598469753,0.1388857370744605,5.995016463096623e-05,0.00020874503230853978,5,
Q_D1,D1,Bd,NO_PREDEFINED_INCREMENT,1.2717228575980048e-05,0.013146804888492535,-4.132448225317428e-05,6.675893940513438e-05,3,
Q_D2,D2,Bd,NO_PREDEFINED_INCREMENT,3.982220378188098e-05,0.04116736128648476,-4.8223143065532554e-05,0.0001278675506292945,3,
Q_D3,D3,Bd,NO_PREDEFINED_INCREMENT,3.0815579862583896e-05,0.031856501875286075,-7.750917708991927e-06,6.938207743415972e-05,5,
Q_D4,D4,Bd,NO_PREDEFINED_INCREMENT,-1.0337624835862835e-06,-0.0010686820317456608,-3.9404768990734226e-05,3.7337244023561664e-05,2,
J,,Bd,EXPLORATORY_CANDIDATE,0.0001771762171446748,0.1831610671905155,7.788789938265258e-05,0.00027646453490669704,5,
S0,,B0,EXPLORATORY_CANDIDATE,0.00021779793596611826,0.2054473656115929,7.725117923831001e-05,0.00035834469269392655,5,
Sd,,Bd,EXPLORATORY_CANDIDATE,0.000134347598469753,0.1388857370744605,5.995016463096623e-05,0.00020874503230853978,5,
