model_id,org_id,model_type,params_B,metadata_row_present
0-hero/Matter-0.1-7B,0-hero,Chat/post-trained,7.0,True
0-hero/Matter-0.1-7B-DPO-preview,0-hero,Chat/post-trained,7.0,True
0-hero/Matter-0.1-7B-boost,0-hero,Chat/post-trained,7.0,True
0-hero/Matter-0.1-7B-boost-DPO,0-hero,Chat/post-trained,7.0,True
0-hero/Matter-0.1-7B-boost-DPO-preview,0-hero,Chat/post-trained,7.0,True
0-hero/Matter-0.1-Slim-7B,0-hero,Fine-tuned,7.0,True
0-hero/Matter-0.1-Slim-7B-A,0-hero,Fine-tuned,7.0,True
0-hero/Matter-0.1-Slim-7B-B,0-hero,Fine-tuned,7.0,True
0-hero/Matter-0.1-Slim-7B-C,0-hero,Fine-tuned,7.0,True
0-hero/Matter-0.1-Slim-7B-C-DPO,0-hero,Fine-tuned,7.0,True
0-hero/Matter-0.1-Slim-7B-preview,0-hero,Fine-tuned,7.0,True
0-hero/Matter-0.2-32B,0-hero,Fine-tuned,32.0,True
0-hero/Matter-0.2-7B,0-hero,Chat/post-trained,7.0,True
0-hero/Matter-0.2-7B-DPO,0-hero,Chat/post-trained,7.0,True
01-ai/Yi-1.5-34B,01-ai,Unknown,34.0,True
01-ai/Yi-1.5-34B-32K,01-ai,Continually pretrained,34.0,True
01-ai/Yi-1.5-34B-Chat,01-ai,Unknown,34.0,True
01-ai/Yi-1.5-34B-Chat-16K,01-ai,Chat/post-trained,34.0,True
01-ai/Yi-1.5-6B,01-ai,Pretrained,6.0,True
01-ai/Yi-1.5-6B-Chat,01-ai,Chat/post-trained,6.0,True
01-ai/Yi-1.5-9B,01-ai,Unknown,8.0,True
01-ai/Yi-1.5-9B-32K,01-ai,Continually pretrained,8.0,True
01-ai/Yi-1.5-9B-Chat,01-ai,Unknown,8.0,True
01-ai/Yi-1.5-9B-Chat-16K,01-ai,Fine-tuned,8.0,True
01-ai/Yi-34B,01-ai,Unknown,34.0,True
01-ai/Yi-34B-200K,01-ai,Continually pretrained,34.0,True
01-ai/Yi-34B-Chat,01-ai,Chat/post-trained,34.0,True
01-ai/Yi-6B,01-ai,Pretrained,6.0,True
01-ai/Yi-9B,01-ai,Continually pretrained,8.0,True
01-ai/Yi-9B-200K,01-ai,Continually pretrained,8.0,True
0ai/0ai-7B-v3,0ai,Merged,7.0,True
0ai/0ai-7B-v4,0ai,Merged,7.0,True
0ai/0ai-7B-v5,0ai,Merged,7.0,True
0x7194633/fialka-13B-v3,0x7194633,Chat/post-trained,12.0,True
0x7194633/fialka-13B-v3.1,0x7194633,Chat/post-trained,12.0,True
0x7194633/fialka-13B-v4,0x7194633,Chat/post-trained,12.0,True
0x7194633/fialka-7B-v3,0x7194633,Chat/post-trained,6.0,True
0x7194633/nanoFialka-v1,0x7194633,Chat/post-trained,,True
0x7o/BulgakovLM-3B,0x7o,Pretrained,2.0,True
152334H/miqu-1-70b-sf,152334H,Chat/post-trained,68.0,True
1TuanPham/T-Llama,1TuanPham,Fine-tuned,6.0,True
222gate/Blur-4x7b-MOE-v0.1,222gate,Fine-tuned,24.0,True
222gate/Blurdus-7b-v0.1,222gate,Fine-tuned,7.0,True
222gate/Blurred-Beagle-7b-slerp,222gate,Chat/post-trained,7.0,True
222gate/BrurryDog-7b-v0.1,222gate,Chat/post-trained,7.0,True
222gate/TinyMistral-248Mx4-MOE,222gate,Fine-tuned,,True
222gate/bleagle-7b-v0.1-test,222gate,Chat/post-trained,7.0,True
222limin/Liph-36-imatwarwithmyself,222limin,Fine-tuned,2.0,True
22h/open-cabrita3b,22h,Fine-tuned,3.0,True
42MARU/sitebunny-13b,42MARU,Fine-tuned,12.0,True
42dot/42dot_LLM-PLM-1.3B,42dot,Fine-tuned,1.0,True
42dot/42dot_LLM-SFT-1.3B,42dot,Chat/post-trained,1.0,True
4season/alignment-model-test10,4season,Fine-tuned,21.0,True
4season/alignment-model-test3,4season,Fine-tuned,21.0,True
4season/alignment-model-test9,4season,Fine-tuned,21.0,True
4season/alignment_model_test,4season,Fine-tuned,21.0,True
4season/final_model_test_v2,4season,Fine-tuned,21.0,True
4season/merge_model_test_v2,4season,Fine-tuned,21.0,True
4season/sft_model_test1,4season,Fine-tuned,21.0,True
64bits/LexPodLM-13B,64bits,Fine-tuned,64.0,True
8Xqmff94/pooled_gqa_mix_chatml,8Xqmff94,Fine-tuned,30.0,True
8xqmff94/pooled_gqa_chat,8xqmff94,Fine-tuned,30.0,True
8xqmff94/pooled_gqa_math,8xqmff94,Fine-tuned,30.0,True
8xqmff94/pooled_gqa_mix,8xqmff94,Fine-tuned,30.0,True
8xqmff94/pooled_gqa_mix_chatml_sft,8xqmff94,Fine-tuned,30.0,True
