model_id,org_id,n_valid_F,n_valid_C,n_valid_target,eligible,reasons
0-hero/Matter-0.1-7B,0-hero,586,584,9586,True,
0-hero/Matter-0.1-7B-DPO-preview,0-hero,586,584,9586,True,
0-hero/Matter-0.1-7B-boost,0-hero,586,584,9586,True,
0-hero/Matter-0.1-7B-boost-DPO,0-hero,586,584,9586,True,
0-hero/Matter-0.1-7B-boost-DPO-preview,0-hero,586,584,9586,True,
0-hero/Matter-0.1-Slim-7B,0-hero,586,584,9586,True,
0-hero/Matter-0.1-Slim-7B-A,0-hero,586,584,9586,True,
0-hero/Matter-0.1-Slim-7B-B,0-hero,586,584,9586,True,
0-hero/Matter-0.1-Slim-7B-C,0-hero,586,584,9586,True,
0-hero/Matter-0.1-Slim-7B-C-DPO,0-hero,586,584,9586,True,
0-hero/Matter-0.1-Slim-7B-preview,0-hero,586,584,9586,True,
0-hero/Matter-0.2-32B,0-hero,586,584,9586,True,
0-hero/Matter-0.2-7B,0-hero,586,584,9586,True,
0-hero/Matter-0.2-7B-DPO,0-hero,586,584,9586,True,
01-ai/Yi-1.5-34B,01-ai,586,584,9586,True,
01-ai/Yi-1.5-34B-32K,01-ai,586,584,9586,True,
01-ai/Yi-1.5-34B-Chat,01-ai,586,584,9586,True,
01-ai/Yi-1.5-34B-Chat-16K,01-ai,586,584,9586,True,
01-ai/Yi-1.5-6B,01-ai,586,584,9586,True,
01-ai/Yi-1.5-6B-Chat,01-ai,586,584,9586,True,
01-ai/Yi-1.5-9B,01-ai,586,584,9586,True,
01-ai/Yi-1.5-9B-32K,01-ai,586,584,9586,True,
01-ai/Yi-1.5-9B-Chat,01-ai,586,584,9586,True,
01-ai/Yi-1.5-9B-Chat-16K,01-ai,586,584,9586,True,
01-ai/Yi-34B,01-ai,586,584,9586,True,
01-ai/Yi-34B-200K,01-ai,586,584,9586,True,
01-ai/Yi-34B-Chat,01-ai,586,584,9586,True,
01-ai/Yi-6B,01-ai,586,584,9586,True,
01-ai/Yi-9B,01-ai,586,584,9586,True,
01-ai/Yi-9B-200K,01-ai,586,584,9586,True,
0ai/0ai-7B-v3,0ai,586,584,9586,True,
0ai/0ai-7B-v4,0ai,586,584,9586,True,
0ai/0ai-7B-v5,0ai,586,584,9586,True,
0x7194633/fialka-13B-v3,0x7194633,586,584,9586,True,
0x7194633/fialka-13B-v3.1,0x7194633,586,584,9586,True,
0x7194633/fialka-13B-v4,0x7194633,586,584,9586,True,
0x7194633/fialka-7B-v3,0x7194633,586,584,9586,True,
0x7194633/nanoFialka-v1,0x7194633,586,584,9586,True,
0x7o/BulgakovLM-3B,0x7o,586,584,9586,True,
152334H/miqu-1-70b-sf,152334H,586,584,9586,True,
1TuanPham/T-Llama,1TuanPham,586,584,9586,True,
222gate/Blur-4x7b-MOE-v0.1,222gate,586,584,9586,True,
222gate/Blurdus-7b-v0.1,222gate,586,584,9586,True,
222gate/Blurred-Beagle-7b-slerp,222gate,586,584,9586,True,
222gate/BrurryDog-7b-v0.1,222gate,586,584,9586,True,
222gate/TinyMistral-248Mx4-MOE,222gate,586,584,9586,True,
222gate/bleagle-7b-v0.1-test,222gate,586,584,9586,True,
