model_id,org_id,A,C,O,REL10,R50,n_valid_source
0-hero/Matter-0.1-7B,0-hero,0.617948717948718,0.33196829343106976,-0.2859804245176482,0.08851469959807456,0.26495726495726496,1170
0-hero/Matter-0.1-7B-DPO-preview,0-hero,0.6264957264957265,0.3413174225206027,-0.2851783039751238,0.0875850382213353,0.26153846153846155,1170
0-hero/Matter-0.1-7B-boost,0-hero,0.6264957264957265,0.3505709820949958,-0.27592474440073067,0.08366261962617913,0.26324786324786326,1170
0-hero/Matter-0.1-7B-boost-DPO,0-hero,0.6495726495726496,0.3705111799321937,-0.2790614696404559,0.0856959424475225,0.2376068376068376,1170
0-hero/Matter-0.1-7B-boost-DPO-preview,0-hero,0.6452991452991453,0.3628712285648521,-0.28242791673429324,0.08603680304626526,0.24957264957264957,1170
0-hero/Matter-0.1-Slim-7B,0-hero,0.6051282051282051,0.3235354771990164,-0.2815927279291887,0.08479245970108032,0.28717948717948716,1170
0-hero/Matter-0.1-Slim-7B-A,0-hero,0.6051282051282051,0.3235354771990164,-0.2815927279291887,0.08479245970108032,0.28717948717948716,1170
0-hero/Matter-0.1-Slim-7B-B,0-hero,0.6076923076923076,0.3289979994536422,-0.2786943082386654,0.08523378961177476,0.28034188034188035,1170
0-hero/Matter-0.1-Slim-7B-C,0-hero,0.6136752136752137,0.3334027457192026,-0.28027246795601113,0.08536650829641984,0.27350427350427353,1170
0-hero/Matter-0.1-Slim-7B-C-DPO,0-hero,0.635042735042735,0.3383353769516093,-0.2967073580911257,0.0964250798536361,0.2547008547008547,1170
0-hero/Matter-0.1-Slim-7B-preview,0-hero,0.6,0.32889293330367103,-0.27110706669632895,0.08053752710816321,0.27863247863247864,1170
0-hero/Matter-0.2-32B,0-hero,0.6324786324786325,0.3287303964972127,-0.30374823598141976,0.09571768756297977,0.26666666666666666,1170
0-hero/Matter-0.2-7B,0-hero,0.6162393162393163,0.33178903034465107,-0.2844502858946652,0.08537628504016753,0.28205128205128205,1170
0-hero/Matter-0.2-7B-DPO,0-hero,0.6333333333333333,0.33859972089281953,-0.29473361244051377,0.09377145482749023,0.26324786324786326,1170
