repo,model_name,model_type,weight_type,precision,params_B,source_field:Type
open-llm-leaderboard-old/details_0-hero__Matter-0.1-7B,0-hero__Matter-0.1-7B,"💬 chat models (RLHF, DPO, IFT, ...)",Original,bfloat16,7,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_0-hero__Matter-0.1-7B-DPO-preview,0-hero__Matter-0.1-7B-DPO-preview,"💬 chat models (RLHF, DPO, IFT, ...)",Original,bfloat16,7,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_0-hero__Matter-0.1-7B-boost,0-hero__Matter-0.1-7B-boost,"💬 chat models (RLHF, DPO, IFT, ...)",Original,bfloat16,7,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_0-hero__Matter-0.1-7B-boost-DPO,0-hero__Matter-0.1-7B-boost-DPO,"💬 chat models (RLHF, DPO, IFT, ...)",Original,bfloat16,7,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_0-hero__Matter-0.1-7B-boost-DPO-preview,0-hero__Matter-0.1-7B-boost-DPO-preview,"💬 chat models (RLHF, DPO, IFT, ...)",Original,bfloat16,7,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_0-hero__Matter-0.1-Slim-7B,0-hero__Matter-0.1-Slim-7B,🔶 fine-tuned on domain-specific datasets,Original,bfloat16,7,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_0-hero__Matter-0.1-Slim-7B-A,0-hero__Matter-0.1-Slim-7B-A,🔶 fine-tuned on domain-specific datasets,Original,bfloat16,7,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_0-hero__Matter-0.1-Slim-7B-B,0-hero__Matter-0.1-Slim-7B-B,🔶 fine-tuned on domain-specific datasets,Original,bfloat16,7,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_0-hero__Matter-0.1-Slim-7B-C,0-hero__Matter-0.1-Slim-7B-C,🔶 fine-tuned on domain-specific datasets,Original,bfloat16,7,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_0-hero__Matter-0.1-Slim-7B-C-DPO,0-hero__Matter-0.1-Slim-7B-C-DPO,🔶 fine-tuned on domain-specific datasets,Original,bfloat16,7,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_0-hero__Matter-0.1-Slim-7B-preview,0-hero__Matter-0.1-Slim-7B-preview,🔶 fine-tuned on domain-specific datasets,Original,bfloat16,7,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_0-hero__Matter-0.2-32B,0-hero__Matter-0.2-32B,🔶 fine-tuned on domain-specific datasets,Original,bfloat16,32,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_0-hero__Matter-0.2-7B,0-hero__Matter-0.2-7B,"💬 chat models (RLHF, DPO, IFT, ...)",Original,bfloat16,7,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_0-hero__Matter-0.2-7B-DPO,0-hero__Matter-0.2-7B-DPO,"💬 chat models (RLHF, DPO, IFT, ...)",Original,bfloat16,7,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_01-ai__Yi-1.5-34B,01-ai__Yi-1.5-34B,,Original,bfloat16,34,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_01-ai__Yi-1.5-34B-32K,01-ai__Yi-1.5-34B-32K,🟩 continuously pretrained,Original,bfloat16,34,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_01-ai__Yi-1.5-34B-Chat,01-ai__Yi-1.5-34B-Chat,,Original,bfloat16,34,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_01-ai__Yi-1.5-34B-Chat-16K,01-ai__Yi-1.5-34B-Chat-16K,"💬 chat models (RLHF, DPO, IFT, ...)",Original,bfloat16,34,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_01-ai__Yi-1.5-6B,01-ai__Yi-1.5-6B,🟢 pretrained,Original,float16,6,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_01-ai__Yi-1.5-6B-Chat,01-ai__Yi-1.5-6B-Chat,"💬 chat models (RLHF, DPO, IFT, ...)",Original,bfloat16,6,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_01-ai__Yi-1.5-9B,01-ai__Yi-1.5-9B,,Original,bfloat16,8,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_01-ai__Yi-1.5-9B-32K,01-ai__Yi-1.5-9B-32K,🟩 continuously pretrained,Original,bfloat16,8,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_01-ai__Yi-1.5-9B-Chat,01-ai__Yi-1.5-9B-Chat,,Original,bfloat16,8,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_01-ai__Yi-1.5-9B-Chat-16K,01-ai__Yi-1.5-9B-Chat-16K,🔶 fine-tuned on domain-specific datasets,Original,bfloat16,8,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_01-ai__Yi-34B,01-ai__Yi-34B,,Original,bfloat16,34,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_01-ai__Yi-34B-200K,01-ai__Yi-34B-200K,🟩 continuously pretrained,Original,bfloat16,34,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_01-ai__Yi-34B-Chat,01-ai__Yi-34B-Chat,"💬 chat models (RLHF, DPO, IFT, ...)",Original,bfloat16,34,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_01-ai__Yi-6B,01-ai__Yi-6B,🟢 pretrained,Original,float16,6,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_01-ai__Yi-6B-200K,01-ai__Yi-6B-200K,🟢 pretrained,Original,float16,6,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_01-ai__Yi-9B,01-ai__Yi-9B,🟩 continuously pretrained,Original,bfloat16,8,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_01-ai__Yi-9B-200K,01-ai__Yi-9B-200K,🟩 continuously pretrained,Original,bfloat16,8,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_0ai__0ai-7B-v3,0ai__0ai-7B-v3,🤝 base merges and moerges,Original,bfloat16,7,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_0ai__0ai-7B-v4,0ai__0ai-7B-v4,🤝 base merges and moerges,Original,bfloat16,7,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_0ai__0ai-7B-v5,0ai__0ai-7B-v5,🤝 base merges and moerges,Original,bfloat16,7,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_0x7194633__fialka-13B-v3,0x7194633__fialka-13B-v3,"💬 chat models (RLHF, DPO, IFT, ...)",Original,float16,12,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_0x7194633__fialka-13B-v3.1,0x7194633__fialka-13B-v3.1,"💬 chat models (RLHF, DPO, IFT, ...)",Original,float16,12,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_0x7194633__fialka-13B-v4,0x7194633__fialka-13B-v4,"💬 chat models (RLHF, DPO, IFT, ...)",Original,float16,12,open-llm-leaderboard-old/contents
open-llm-leaderboard-old/details_0x7194633__fialka-7B-v3,0x7194633__fialka-7B-v3,"💬 chat models (RLHF, DPO, IFT, ...)",Original,float16,6,open-llm-leaderboard-old/contents
