repo,family
open-llm-leaderboard-old/details_01-ai__Yi-1.5-34B-32K,01-ai
open-llm-leaderboard-old/details_0-hero__Matter-0.2-32B,0-hero
open-llm-leaderboard-old/details_0-hero__Matter-0.1-Slim-7B-C-DPO,0-hero
open-llm-leaderboard-old/details_0-hero__Matter-0.1-7B-boost,0-hero
open-llm-leaderboard-old/details_0-hero__Matter-0.1-Slim-7B-A,0-hero
open-llm-leaderboard-old/details_0-hero__Matter-0.1-7B-DPO-preview,0-hero
open-llm-leaderboard-old/details_0-hero__Matter-0.1-Slim-7B-preview,0-hero
open-llm-leaderboard-old/details_0-hero__Matter-0.1-Slim-7B-C,0-hero
open-llm-leaderboard-old/details_0-hero__Matter-0.2-7B-DPO,0-hero
open-llm-leaderboard-old/details_0-hero__Matter-0.1-Slim-7B-B,0-hero
open-llm-leaderboard-old/details_0-hero__Matter-0.1-7B,0-hero
open-llm-leaderboard-old/details_0-hero__Matter-0.2-7B,0-hero
open-llm-leaderboard-old/details_0-hero__Matter-0.1-7B-boost-DPO,0-hero
open-llm-leaderboard-old/details_01-ai__Yi-1.5-34B,01-ai
open-llm-leaderboard-old/details_01-ai__Yi-1.5-34B-Chat-16K,01-ai
open-llm-leaderboard-old/details_0-hero__Matter-0.1-Slim-7B,0-hero
open-llm-leaderboard-old/details_0-hero__Matter-0.1-7B-boost-DPO-preview,0-hero
open-llm-leaderboard-old/details_01-ai__Yi-34B,01-ai
open-llm-leaderboard-old/details_01-ai__Yi-1.5-34B-Chat,01-ai
open-llm-leaderboard-old/details_01-ai__Yi-6B,01-ai
open-llm-leaderboard-old/details_01-ai__Yi-1.5-9B-32K,01-ai
open-llm-leaderboard-old/details_01-ai__Yi-1.5-9B-Chat-16K,01-ai
open-llm-leaderboard-old/details_0ai__0ai-7B-v4,0ai
open-llm-leaderboard-old/details_0ai__0ai-7B-v3,0ai
open-llm-leaderboard-old/details_0ai__0ai-7B-v5,0ai
open-llm-leaderboard-old/details_0x7194633__fialka-13B-v3.1,0x7194633
open-llm-leaderboard-old/details_01-ai__Yi-1.5-6B,01-ai
open-llm-leaderboard-old/details_0x7194633__fialka-13B-v3,0x7194633
open-llm-leaderboard-old/details_0x7194633__fialka-13B-v4,0x7194633
open-llm-leaderboard-old/details_01-ai__Yi-34B-200K,01-ai
open-llm-leaderboard-old/details_01-ai__Yi-1.5-9B-Chat,01-ai
open-llm-leaderboard-old/details_01-ai__Yi-1.5-9B,01-ai
open-llm-leaderboard-old/details_01-ai__Yi-9B,01-ai
open-llm-leaderboard-old/details_01-ai__Yi-34B-Chat,01-ai
open-llm-leaderboard-old/details_0x7194633__nanoFialka-v1,0x7194633
open-llm-leaderboard-old/details_01-ai__Yi-1.5-6B-Chat,01-ai
open-llm-leaderboard-old/details_1TuanPham__T-Llama,1TuanPham
open-llm-leaderboard-old/details_01-ai__Yi-9B-200K,01-ai
open-llm-leaderboard-old/details_152334H__miqu-1-70b-sf,152334H
open-llm-leaderboard-old/details_0x7o__BulgakovLM-3B,0x7o
open-llm-leaderboard-old/details_0x7194633__fialka-7B-v3,0x7194633
open-llm-leaderboard-old/details_222limin__Liph-36-imatwarwithmyself,222limin
open-llm-leaderboard-old/details_222gate__Blurdus-7b-v0.1,222gate
open-llm-leaderboard-old/details_222gate__Blurred-Beagle-7b-slerp,222gate
open-llm-leaderboard-old/details_222gate__Blur-4x7b-MOE-v0.1,222gate
open-llm-leaderboard-old/details_222gate__TinyMistral-248Mx4-MOE,222gate
open-llm-leaderboard-old/details_222gate__bleagle-7b-v0.1-test,222gate
open-llm-leaderboard-old/details_222gate__BrurryDog-7b-v0.1,222gate
open-llm-leaderboard-old/details_22h__open-cabrita3b,22h
open-llm-leaderboard-old/details_8xqmff94__slm,8xqmff94
open-llm-leaderboard-old/details_4season__merge_model_test_v2,4season
open-llm-leaderboard-old/details_922-CA__Llama-3-natsuki-ddlc-8b-v1,922-CA
open-llm-leaderboard-old/details_922CA__Llama-3-monika-ddlc-11.5b-v1,922CA
open-llm-leaderboard-old/details_8Xqmff94__pooled_gqa_mix_chatml,8Xqmff94
open-llm-leaderboard-old/details_8xqmff94__pooled_gqa_mix,8xqmff94
open-llm-leaderboard-old/details_922-CA__Llama-3-monika-ddlc-8b-v1,922-CA
open-llm-leaderboard-old/details_8xqmff94__pooled_gqa_math,8xqmff94
open-llm-leaderboard-old/details_4season__sft_model_test1,4season
open-llm-leaderboard-old/details_922CA__Silicon-Natsuki-7b,922CA
open-llm-leaderboard-old/details_8xqmff94__pooled_gqa_raw,8xqmff94
open-llm-leaderboard-old/details_8xqmff94__pooled_gqa_mix_chatml_sft,8xqmff94
open-llm-leaderboard-old/details_AA051610__C0322-reft,AA051610
open-llm-leaderboard-old/details_AA051610__AZG,AA051610
open-llm-leaderboard-old/details_8xqmff94__pooled_gqa_chat,8xqmff94
open-llm-leaderboard-old/details_4season__final_model_test_v2,4season
open-llm-leaderboard-old/details_AA051611__A0113,AA051611
open-llm-leaderboard-old/details_AA051611__A0110,AA051611
open-llm-leaderboard-old/details_AA051610__testtest,AA051610
open-llm-leaderboard-old/details_AA051610__T2A,AA051610
open-llm-leaderboard-old/details_AA051612__A0124,AA051612
open-llm-leaderboard-old/details_AA051612__A0125,AA051612
open-llm-leaderboard-old/details_AA051612__B0122,AA051612
open-llm-leaderboard-old/details_AA051611__limb,AA051611
open-llm-leaderboard-old/details_AA051611__A0118,AA051611
open-llm-leaderboard-old/details_AA051612__A0123,AA051612
open-llm-leaderboard-old/details_AA051611__whattest,AA051611
open-llm-leaderboard-old/details_AA051611__A0119,AA051611
open-llm-leaderboard-old/details_AA051612__A0126,AA051612
open-llm-leaderboard-old/details_AA051611__V0201,AA051611
open-llm-leaderboard-old/details_AA051615__A0221,AA051615
open-llm-leaderboard-old/details_AA051612__B0121,AA051612
open-llm-leaderboard-old/details_AA051615__A0304,AA051615
open-llm-leaderboard-old/details_AA051615__A0306,AA051615
open-llm-leaderboard-old/details_AA051615__L0223,AA051615
open-llm-leaderboard-old/details_AA051615__A0308-G,AA051615
open-llm-leaderboard-old/details_AA051615__A0305a,AA051615
open-llm-leaderboard-old/details_AA051615__L0225,AA051615
open-llm-leaderboard-old/details_ABX-AI__Infinite-Laymons-9B,ABX-AI
open-llm-leaderboard-old/details_ABX-AI__Silver-Sun-11B,ABX-AI
