group,metric,bench,value
crossbench,n_arc,arc+hellaswag,6717
crossbench,n_hs,arc+hellaswag,6720
crossbench,n_shared,arc+hellaswag,6716
crossbench,expected_shared,arc+hellaswag,6716
crossbench,thetaA_crossbench_raw,arc+hellaswag,0.954727470550442
crossbench,thetaA_resid_on_acc_crossbench,arc+hellaswag,0.841891662106906
crossbench,thetaC_crossbench_raw,arc+hellaswag,0.44864925453188337
crossbench,acc_crossbench,arc+hellaswag,0.9309877804000004
crossbench,meanY_crossbench,arc+hellaswag,0.9744159365525467
crossbench,meanCONF_crossbench,arc+hellaswag,0.8361227991923196
crossbench,signed_crossbench,arc+hellaswag,0.8297390764358719
crossbench,gauge_crossbench,arc+hellaswag,0.9906834978660856
crossbench,tok_len_crossbench,arc+hellaswag,0.9732985364111246
per_bench,thetaC_corr_thetaA,arc,-0.6654361158946757
per_bench,thetaC_corr_signed,arc,0.8852338217661557
per_bench,thetaC_corr_acc,arc,-0.44356136409865554
per_bench,thetaC_corr_meanY,arc,0.6770919867716028
per_bench,thetaC_corr_meanCONF,arc,-0.6469305558525134
per_bench,thetaC_corr_gauge,arc,0.1494345329223071
per_bench,thetaC_corr_tok_len,arc,0.6970508783877708
per_bench,thetaA_corr_acc,arc,0.8859569658157448
per_bench,thetaA_corr_meanY,arc,0.06045221022393306
per_bench,thetaA_corr_meanCONF,arc,0.5269444598051028
per_bench,thetaA_corr_signed,arc,-0.6660236995672144
per_bench,"R2_thetaC_on_(thetaA,meanY)",arc,0.9592391657867205
per_bench,resid_share_after_thetaA_meanY,arc,0.040760834213279494
per_bench,resid_var_absolute,arc,0.011206735742384876
per_bench,resid_corr_meanCONF,arc,-0.5231825080660792
per_bench,resid_share_after_+gauge+len,arc,0.02614350642739837
per_bench,"R2_thetaC_on_(thetaA,meanY,gauge,len)",arc,0.9738564935726016
per_bench,resid_var_absolute_+gauge+len,arc,0.007187864860129453
per_bench,resid_corr_meanCONF_after_+gauge+len,arc,-0.24106848191660657
model_vector_std,theta_A,arc,0.43571881007232566
model_vector_std,theta_C,arc,0.5243460899064569
model_vector_std,acc,arc,0.1406020796340265
model_vector_std,meanY,arc,0.1362494693647635
model_vector_std,meanCONF,arc,0.03960805509031201
model_vector_std,gauge,arc,7.065632998906803
model_vector_std,tok_len,arc,8.034811220515236
per_bench,thetaC_corr_thetaA,hellaswag,-0.9953149400208302
per_bench,thetaC_corr_signed,hellaswag,0.8151792747938809
per_bench,thetaC_corr_acc,hellaswag,-0.9095297216762822
per_bench,thetaC_corr_meanY,hellaswag,-0.31614779214250827
per_bench,thetaC_corr_meanCONF,hellaswag,-0.12075375150678327
per_bench,thetaC_corr_gauge,hellaswag,-0.1954029025116511
per_bench,thetaC_corr_tok_len,hellaswag,0.12638867928986441
per_bench,thetaA_corr_acc,hellaswag,0.8876809516004945
per_bench,thetaA_corr_meanY,hellaswag,0.23085648842747045
per_bench,thetaA_corr_meanCONF,hellaswag,0.1617256627322338
per_bench,thetaA_corr_signed,hellaswag,-0.8354600229890152
per_bench,"R2_thetaC_on_(thetaA,meanY)",hellaswag,0.9985320799757487
per_bench,resid_share_after_thetaA_meanY,hellaswag,0.0014679200242512793
per_bench,resid_var_absolute,hellaswag,0.0003883933613565875
per_bench,resid_corr_meanCONF,hellaswag,0.5220432047172061
per_bench,resid_share_after_+gauge+len,hellaswag,0.0009309767264218905
per_bench,"R2_thetaC_on_(thetaA,meanY,gauge,len)",hellaswag,0.9990690232735782
per_bench,resid_var_absolute_+gauge+len,hellaswag,0.000246324850227572
per_bench,resid_corr_meanCONF_after_+gauge+len,hellaswag,0.24340174664196393
model_vector_std,theta_A,hellaswag,0.4850912571874329
model_vector_std,theta_C,hellaswag,0.5143807432312382
model_vector_std,acc,hellaswag,0.1633352952402716
model_vector_std,meanY,hellaswag,0.07798300256111367
model_vector_std,meanCONF,hellaswag,0.024555914908249103
model_vector_std,gauge,hellaswag,7.819493583602469
model_vector_std,tok_len,hellaswag,7.980907552442063
run_health,all_arrays_finite,arc,True
run_health,loss_n_recorded,arc,2500
run_health,loss_first,arc,6.174988191013304
run_health,loss_last,arc,-0.9609911838630819
run_health,loss_last100_mean,arc,-0.9607592847488015
run_health,loss_last100_ols_slope_per_epoch,arc,-5.6428179418629124e-06
run_health,centering_max_abs_mean,arc,1.375175757761099e-17
run_health,all_arrays_finite,hellaswag,True
run_health,loss_n_recorded,hellaswag,2500
run_health,loss_first,hellaswag,6.155750225085993
run_health,loss_last,hellaswag,-1.0226399666029733
run_health,loss_last100_mean,hellaswag,-1.0205149725138016
run_health,loss_last100_ols_slope_per_epoch,hellaswag,-4.330139126744415e-05
run_health,centering_max_abs_mean,hellaswag,6.537825255843665e-17
